cristin_result_id,tittel,ar,kategori,kanal,lenke,temaer,forfattere_utdrag,antall_forfattere,ntnu_forskere_i_utvalget,finansiering
2015034,Adaptive motion planning and path following for permanent resident biofouling prevention robot operating in fish farms,2022,Academic article,OCEANS,https://doi.org/10.23919/OCEANS44145.2021.9706041,"Regulering, MPC og estimering; Akvakultur og fiskeri",Martin Føre; Sverre Fjæra; Sveinung Johan Ohrem; Eleni Kelasidi; Nina Bloecher; Herman Biørn Amundsen,6,Martin Føre; Eleni Kelasidi,NFR
2058214,Autonomous Monitoring and Inspection Operations with UUVs in Fish Farms,2022,Academic article,IFAC-PapersOnLine,https://doi.org/10.1016/j.ifacol.2022.10.461,Akvakultur og fiskeri,Eleni Kelasidi; Biao Su; Walter Caharija; Martin Føre; Magnus Oshaug Pedersen; Kevin Frank,6,Martin Føre; Eleni Kelasidi,NFR
2096059,A modular hyperspectral image processing pipeline for cubesats,2022,Academic article,"Workshop on Hyperspectral Image and Signal Processing, Evolution in Remote Sensing",https://doi.org/10.1109/WHISPERS56178.2022.9955026,Datasyn,Sivert Bakken; Aksel Skrøvset Danielsen; Kristine Døsvik; Joseph Garrett; Milica Orlandic; Dennis D. Langer,7,Joseph Landon Garrett; Milica Orlandic; Tor Arne Johansen; Dennis David Langer,NFR; NFR; EEA; ESA
2096071,Accelerating support vector machines for remote platforms by increasing sparsity,2022,Academic article,"Workshop on Hyperspectral Image and Signal Processing, Evolution in Remote Sensing",https://doi.org/10.1109/WHISPERS56178.2022.9955103,Datasyn,Joseph Garrett; N Singh; Tor Arne Johansen; Ion Necoara,4,Joseph Landon Garrett; Tor Arne Johansen,NFR; NFR; EEA
2096079,Comparing pre- and post-launch images from the HYPSO-1 cubesat hyperspectral imager,2022,Academic article,Proceedings of the International Astronautical Congress,https://hdl.handle.net/11250/3052017,Datasyn,Marie Bøe Henriksen; Joseph Garrett; Tor Arne Johansen; Fred Sigernes,4,Joseph Landon Garrett; Fred Sigernes; Tor Arne Johansen,NFR; NFR; EEA; ESA
1952178,Software Development and Integration of a Hyperspectral Imaging Payload for HYPSO-1,2022,Academic article,IEEE/SICE International Symposium on System Integration,https://doi.org/10.1109/SII52469.2022.9708742,Datasyn,Sivert Bakken; Evelyn Honoré-Livermore; Roger Birkeland; Milica Orlandic; Elizabeth Frances Prentice; Joseph Garrett,9,Joseph Landon Garrett; Cecilia Haskins; Milica Orlandic; Roger Birkeland; Tor Arne Johansen; Dennis David Langer,ESA; NFR; NFR; EEA
2103739,Stochastic Higher-Order Independent Component Analysis for Hyperspectral Dimensionality Reduction,2022,Academic article,IEEE Transactions on Computational Imaging,https://doi.org/10.1109/TCI.2022.3230584,Datasyn,Daniela Lupu; Ion Necoara; Joseph Landon Garrett; Tor Arne Johansen,4,Joseph Landon Garrett; Tor Arne Johansen,NFR; NFR; EEA
1952171,Testing  of  Software-Intensive  Hyperspectral  Imaging  Payload for the  HYPSO-1  CubeSat,2022,Academic article,IEEE/SICE International Symposium on System Integration,https://doi.org/10.1109/SII52469.2022.9708802,Datasyn,Sivert Bakken; Roger Birkeland; Joseph Garrett; Per Amund Roaulsson Marton; Milica Orlandic; Evelyn Honoré-Livermore,9,Joseph Landon Garrett; Cecilia Haskins; Milica Orlandic; Roger Birkeland; Tor Arne Johansen; Dennis David Langer,ESA; NFR; NFR; EEA
2056858,Modeling for Hybrid Obstacle-Aided Locomotion (HOAL) of Snake Robots,2022,Academic article,IFAC-PapersOnLine,https://doi.org/10.1016/j.ifacol.2022.09.103,,Irja Gravdahl; Øyvind Stavdahl; Atussa Koushan; Jostein Løwer; Kristin Ytterstad Pettersen,5,Kristin Ytterstad Pettersen; Øyvind Stavdahl; Irja Gravdahl,
2102981,Proprioceptive Contact Force and Contact Point Estimation in a Stationary Snake Robot,2022,Academic article,IFAC-PapersOnLine,https://doi.org/10.1016/j.ifacol.2023.01.149,"Marin autonomi og fartøy; Regulering, MPC og estimering",Jostein Løwer; Irja Gravdahl; Damiano Varagnolo; Øyvind Stavdahl,4,Damiano Varagnolo; Øyvind Stavdahl; Irja Gravdahl,
2094897,Convex Neural Network-Based Cost Modifications for Learning Model Predictive Control,2022,Academic article,IEEE Open Journal of Control Systems,https://doi.org/10.1109/OJCSYS.2022.3221063,"Regulering, MPC og estimering; Maskinlæring og dyp læring",Katrine Seel; Arash Bahari Kordabad; Sebastien Gros; Jan Tommy Gravdahl,4,Sebastien Nicolas Gros; Jan Tommy Gravdahl,NFR; NFR
2110132,Robust Task-Priority Impedance Control for Vehicle-Manipulator Systems,2022,Academic chapter/article/Conference paper,,https://doi.org/10.1109/CCTA49430.2022.9966055,Manipulasjon og industrirobotikk,Bjørn Kåre Sæbø; Kristin Ytterstad Pettersen; Jan Tommy Gravdahl,3,Bjørn Kåre Sæbø; Kristin Ytterstad Pettersen; Jan Tommy Gravdahl,NFR; EC/H2020
2054679,"The Generalized Lyapunov Demodulator: High-Bandwidth, Low-Noise Amplitude and Phase Estimation",2022,Academic article,IEEE Open Journal of Control Systems,https://doi.org/10.1109/OJCSYS.2022.3181111,"Regulering, MPC og estimering",Michael Remo Palmén Ragazzon; Saverio Messineo; Jan Tommy Gravdahl; David M. Harcombe; Michael G. Ruppert,5,Jan Tommy Gravdahl,NFR; NFR; EC/H2020
2047615,The generalized super-twisting algorithm with adaptive gains,2022,Academic article,International Journal of Robust and Nonlinear Control,https://doi.org/10.1002/rnc.6212,"Regulering, MPC og estimering",Ida-Louise Garmann Borlaug; Kristin Ytterstad Pettersen; Jan Tommy Gravdahl,3,Kristin Ytterstad Pettersen; Jan Tommy Gravdahl,NFR; NFR; ERC
2109343,Uniform Practical Asymptotic Stability for Position Control of Underwater Snake Robots,2022,Academic chapter/article/Conference paper,,https://doi.org/10.1109/CCTA49430.2022.9966034,"Marin autonomi og fartøy; Regulering, MPC og estimering",Amer Orucevic; Jan Tommy Gravdahl; Kristin Ytterstad Pettersen; Antoine Chaillet,4,Amer Orucevic; Kristin Ytterstad Pettersen; Jan Tommy Gravdahl,NFR; NFR; ERC
2071831,A Semidistributed Interior Point Algorithm for Optimal Coordination of Automated Vehicles at Intersections,2022,Academic article,IEEE Transactions on Control Systems Technology,https://doi.org/10.1109/TCST.2021.3132835,,Robert Hult; Mario Zanon; Sebastien Gros; Paolo Falcone,4,Sebastien Nicolas Gros,
2106018,Bridging the gap between QP-based and MPC-based Reinforcement Learning,2022,Academic article,IFAC-PapersOnLine,https://doi.org/10.1016/j.ifacol.2022.07.600,"Regulering, MPC og estimering; Læringsbasert kontroll og RL",Shambhuraj Vijaysinh Sawant; Sebastien Nicolas Gros,2,Sebastien Nicolas Gros; Shambhuraj Vijaysinh Sawant,
2059291,Economic MPC of Markov Decision Processes: Dissipativity in undiscounted infinite-horizon optimal control,2022,Academic article,Automatica,https://doi.org/10.1016/j.automatica.2022.110602,"Regulering, MPC og estimering",Sebastien Gros; Mario Zanon,2,Sebastien Nicolas Gros,
2057453,Learning for MPC with stability & safety guarantees,2022,Academic article,Automatica,https://doi.org/10.1016/j.automatica.2022.110598,"Regulering, MPC og estimering; Sikkerhet, verifisering og risiko",Sebastien Gros; Mario Zanon,2,Sebastien Nicolas Gros,
2111686,Policy Gradient Reinforcement Learning for Uncertain Polytopic LPV Systems based on MHE-MPC,2022,Academic article,IFAC-PapersOnLine,https://doi.org/10.1016/j.ifacol.2022.07.599,"Regulering, MPC og estimering; Læringsbasert kontroll og RL",Hossein Nejatbakhsh Esfahani; Sebastien Nicolas Gros,2,Sebastien Nicolas Gros,
2071292,Q-learning of the storage function in Economic Nonlinear Model Predictive Control,2022,Academic article,Engineering Applications of Artificial Intelligence,https://doi.org/10.1016/j.engappai.2022.105343,"Regulering, MPC og estimering; Læringsbasert kontroll og RL; Maskinlæring og dyp læring",Arash Bahari Kordabad; Sebastien Gros,2,Sebastien Nicolas Gros,
1970538,Reinforcement learning-based NMPC for tracking control of ASVs: Theory and experiments,2022,Academic article,Control Engineering Practice,https://doi.org/10.1016/j.conengprac.2021.105024,"Regulering, MPC og estimering; Læringsbasert kontroll og RL",Andreas Bell Martinsen; Anastasios Lekkas; Sebastien Gros,3,Sebastien Nicolas Gros; Anastasios Lekkas,NFR; NFR
2094798,Safe Reinforcement Learning Using Wasserstein Distributionally Robust MPC and Chance Constraint,2022,Academic article,IEEE Access,https://doi.org/10.1109/ACCESS.2022.3228922,"Regulering, MPC og estimering; Læringsbasert kontroll og RL; Sikkerhet, verifisering og risiko",Arash Bahari Kordabad; Rafael Wisniewski; Sebastien Gros,3,Sebastien Nicolas Gros,
2108882,Solving Mission-Wide Chance-Constrained Optimal Control Using Dynamic Programming,2022,Academic article,IEEE Conference on Decision and Control. Proceedings,https://doi.org/10.1109/CDC51059.2022.9993003,"Regulering, MPC og estimering",Kai Wang; Sebastien Nicolas Gros,2,Sebastien Nicolas Gros,
2096692,Modeling of the Skywalker X8 Fixed-Wing UAV: Flight Tests and System Identification,2022,Academic article,International Conference on Unmanned Aircraft Systems (ICUAS),https://doi.org/10.1109/ICUAS54217.2022.9836104,Droner og luftfartøy,Dirk Peter Reinhardt; Kristoffer Gryte; Tor Arne Johansen,3,Tor Arne Johansen; Kristoffer Gryte; Dirk Peter Reinhardt,NFR; EC/HEU
2093821,"Position Locking for Permanent Magnet
Synchronous Machine Propeller Drives in Drones
by Hall-Effect Sensor-Assisted Nonlinear Observer",2022,Academic chapter/article/Conference paper,,https://doi.org/10.1109/IECON49645.2022.9968599,"Marin autonomi og fartøy; Droner og luftfartøy; Regulering, MPC og estimering",Emil Jenssen; Kristoffer Gryte; Jon Are Wold Suul,3,Jon Are Wold Suul; Kristoffer Gryte,NFR
2095454,Robust and Gain-Scheduled Flight Control of Fixed-Wing UAVs in Wind and Icing Conditions,2022,Academic article,IEEE Aerospace Conference. Proceedings,https://doi.org/10.1109/AERO53065.2022.9843837,"Droner og luftfartøy; Regulering, MPC og estimering",Ruben Kleiven; Kristoffer Gryte; Tor Arne Johansen,3,Tor Arne Johansen; Kristoffer Gryte,NFR; NFR
2096248,"Toward Nonlinear Flight Control for Fixed-Wing UAVs: System Architecture, Field Experiments, and Lessons Learned",2022,Academic article,International Conference on Unmanned Aircraft Systems (ICUAS),https://doi.org/10.1109/ICUAS54217.2022.9836064,Droner og luftfartøy,Erlend M. Coates; Dirk Peter Reinhardt; Kristoffer Gryte; Tor Arne Johansen,4,Tor Arne Johansen; Kristoffer Gryte; Erlend Magnus Lervik Coates; Dirk Peter Reinhardt,NFR; NFR
2100175,Hazards of In-flight Icing on Unmanned Aircraft,2022,Academic chapter/article/Conference paper,,https://hdl.handle.net/11250/4783731,"Droner og luftfartøy; Sikkerhet, verifisering og risiko",Richard Hann,1,Richard Hann,NFR; NFR
2107909,How Many Reindeer? UAV Surveys as an Alternative to Helicopter or Ground Surveys for Estimating Population Abundance in Open Landscapes,2022,Academic article,Remote Sensing,https://doi.org/10.3390/rs15010009,Droner og luftfartøy,Ingrid Marie Garfelt Paulsen; Åshild Ønvik Pedersen; Richard Hann; Marie-Anne Blanchet; Isabell Eischeid; Charlotte Maartje van Hazendonk,9,Richard Hann,SVALBARDMILJØ; TFS; NFR; NFR; NFR; NINA; UIT; FRAM
2039796,UAV Icing: A Performance Model for a UAV Propeller in Icing Conditions,2022,Academic chapter/article/Conference paper,,https://doi.org/10.2514/6.2022-3903,Marin autonomi og fartøy; Droner og luftfartøy,Nicolas Carlo Müller; Richard Hann,2,Nicolas Carlo Müller; Richard Hann,NFR; NFR; NFR
2041349,UAV Icing: A Unified Icing Severity Index Derived from Performance Degradation,2022,Academic chapter/article/Conference paper,,https://doi.org/10.2514/6.2022-3906,Droner og luftfartøy,Michael Cheung; Richard Hann; Tor Arne Johansen,3,Tor Arne Johansen; Richard Hann,NFR; NFR; NFR
2100184,UAV Icing: Challenges for computational fluid dynamic (CFD) tools,2022,Academic chapter/article/Conference paper,,https://hdl.handle.net/11250/3707884,Droner og luftfartøy,Richard Hann,1,Richard Hann,NFR; NFR
2039782,UAV Icing: Experimental Investigation of Ice Shedding Times with an Electrothermal De-Icing System,2022,Academic chapter/article/Conference paper,,https://doi.org/10.2514/6.2022-3905,Droner og luftfartøy,Joachim Wallisch; Richard Hann,2,Joachim Wallisch; Richard Hann,NFR; NFR; NFR; NFR
1974947,UAV Icing: Experimental and Numerical Study of Glaze Ice,2022,Academic chapter/article/Conference paper,,https://doi.org/10.2514/6.2022-1976,Droner og luftfartøy,Johannes Wolfgang Oswald; Adriana Enache; Richard Hann; Glabeke Gertjan; Thorsten Lutz,5,Richard Hann,NFR; NFR; SIGMA2
2039791,UAV Icing: Ice Shedding Detection Methods for an Electrothermal De-Icing System,2022,Academic chapter/article/Conference paper,,https://doi.org/10.2514/6.2022-3904,Droner og luftfartøy,Bogdan Løw Hansen; Richard Hann; Tor Arne Johansen,3,Bogdan Løw-Hansen; Tor Arne Johansen; Richard Hann,NFR; NFR; NFR
2015478,Wind Estimation with Multirotor UAVs,2022,Academic article,Atmosphere,https://doi.org/10.3390/atmos13040551,"Droner og luftfartøy; Regulering, MPC og estimering",Kilian Meier; Richard Hann; Jan Skaloud; Arthur Garreau,4,Richard Hann,NFR
2097155,Collision Avoidance for Underactuated Surface Vehicles in the Presence of Ocean Currents,2022,Academic article,IFAC-PapersOnLine,https://doi.org/10.1016/j.ifacol.2022.10.476,,Aurora Haraldsen; Martin Syre Wiig; Kristin Ytterstad Pettersen,3,Aurora Haraldsen; Kristin Ytterstad Pettersen,NFR; NFR
2085376,Kinematic and Dynamic Control of Cooperating Underwater Vehicle-Manipulator Systems,2022,Academic article,IFAC-PapersOnLine,https://doi.org/10.1016/j.ifacol.2022.10.417,"Marin autonomi og fartøy; Manipulasjon og industrirobotikk; Regulering, MPC og estimering",Markus Høgevoll Iversflaten; Aurora Haraldsen; Kristin Ytterstad Pettersen,3,Aurora Haraldsen; Markus Høgevoll Iversflaten; Kristin Ytterstad Pettersen,NFR; EC/HEU
2083851,A Rudimentary Mission Planning System for Marine Autonomous Surface Ships,2022,Academic article,IFAC-PapersOnLine,https://doi.org/10.1016/j.ifacol.2022.10.431,Marin autonomi og fartøy,Miguel Hinostroza; Anastasios M. Lekkas,2,Miguel Angel Hinostroza Munöz; Anastasios Lekkas,NFR; NFR
2128700,Model Predictive Control of Air Handling Unit for a Single Zone Setup,2022,Academic chapter/article/Conference paper,,https://doi.org/10.1109/AdCONIP55568.2022.9894128,"Regulering, MPC og estimering",Faiq Ghawash; Morten Hovd; Brad Schofield; Diogo Monteiro,4,Morten Hovd,
